day,open,high,low,close,volume
2024-06-03 10:20:00,10.95,10.98,10.95,10.97,704238
2024-06-03 10:21:00,10.98,10.98,10.97,10.97,892100
2024-06-03 10:22:00,10.97,10.98,10.97,10.97,579100
2024-06-03 10:23:00,10.98,10.99,10.96,10.98,1146200
2024-06-03 10:24:00,10.99,11.0,10.98,10.99,897000
2024-06-03 10:25:00,10.99,11.0,10.98,10.98,539300
2024-06-03 10:26:00,10.98,10.99,10.98,10.98,199300
2024-06-03 10:27:00,10.98,10.99,10.98,10.98,190302
2024-06-03 10:28:00,10.98,10.99,10.97,10.97,706400
2024-06-03 10:29:00,10.97,10.99,10.97,10.98,598400
2024-06-03 10:30:00,10.98,10.99,10.97,10.97,443800
2024-06-03 10:31:00,10.98,11.0,10.98,10.99,521500
2024-06-03 10:32:00,11.0,11.0,10.99,10.99,173000
2024-06-03 10:33:00,10.99,11.0,10.99,10.99,426400
2024-06-03 10:34:00,10.99,11.0,10.99,10.99,144601
2024-06-03 10:35:00,10.99,11.0,10.98,10.98,348300
2024-06-03 10:36:00,10.99,11.0,10.98,10.99,309300
2024-06-03 10:37:00,10.99,11.01,10.99,11.0,728200
2024-06-03 10:38:00,11.01,11.01,10.99,11.0,316400
2024-06-03 10:39:00,11.0,11.01,11.0,11.0,138200
2024-06-03 10:40:00,11.01,11.01,11.0,11.0,81300
2024-06-03 10:41:00,11.0,11.01,11.0,11.0,292700
2024-06-03 10:42:00,11.0,11.01,10.99,11.0,500000
2024-06-03 10:43:00,11.0,11.0,10.99,10.99,263900
2024-06-03 10:44:00,10.99,10.99,10.98,10.98,157200
2024-06-03 10:45:00,10.98,10.99,10.97,10.97,566500
2024-06-03 10:46:00,10.97,10.98,10.97,10.97,315000
2024-06-03 10:47:00,10.97,10.98,10.97,10.97,270300
2024-06-03 10:48:00,10.97,10.98,10.96,10.97,873498
2024-06-03 10:49:00,10.96,10.97,10.96,10.96,342700
2024-06-03 10:50:00,10.96,10.97,10.96,10.96,584500
2024-06-03 10:51:00,10.96,10.97,10.96,10.96,699200
2024-06-03 10:52:00,10.96,10.97,10.96,10.96,178500
2024-06-03 10:53:00,10.97,10.97,10.96,10.97,138700
2024-06-03 10:54:00,10.97,10.97,10.96,10.96,130400
2024-06-03 10:55:00,10.96,10.97,10.96,10.96,172800
2024-06-03 10:56:00,10.96,10.97,10.96,10.96,415984
2024-06-03 10:57:00,10.96,10.97,10.96,10.96,250500
2024-06-03 10:58:00,10.96,10.97,10.96,10.96,188400
2024-06-03 10:59:00,10.96,10.97,10.96,10.96,174300
2024-06-03 11:00:00,10.96,10.98,10.96,10.97,126300
2024-06-03 11:01:00,10.97,10.98,10.97,10.97,78700
2024-06-03 11:02:00,10.97,10.98,10.96,10.96,575100
2024-06-03 11:03:00,10.97,10.97,10.96,10.96,222220
2024-06-03 11:04:00,10.96,10.98,10.96,10.97,214351
2024-06-03 11:05:00,10.97,10.97,10.96,10.97,230100
2024-06-03 11:06:00,10.96,10.97,10.96,10.96,147800
2024-06-03 11:07:00,10.97,10.97,10.96,10.96,92079
2024-06-03 11:08:00,10.96,10.97,10.96,10.96,285500
2024-06-03 11:09:00,10.97,10.97,10.96,10.96,110702
2024-06-03 11:10:00,10.97,10.97,10.96,10.96,59200
2024-06-03 11:11:00,10.96,10.98,10.96,10.97,421900
2024-06-03 11:12:00,10.97,10.99,10.97,10.98,487500
2024-06-03 11:13:00,10.97,10.98,10.96,10.97,167400
2024-06-03 11:14:00,10.97,10.98,10.96,10.98,149900
2024-06-03 11:15:00,10.97,10.98,10.96,10.96,91300
2024-06-03 11:16:00,10.97,10.97,10.96,10.96,114900
2024-06-03 11:17:00,10.96,10.98,10.96,10.97,244213
2024-06-03 11:18:00,10.97,10.97,10.96,10.96,359100
2024-06-03 11:19:00,10.96,10.97,10.95,10.95,849985
2024-06-03 11:20:00,10.96,10.96,10.95,10.95,1102600
2024-06-03 11:21:00,10.96,10.96,10.94,10.94,492700
2024-06-03 11:22:00,10.94,10.96,10.94,10.94,413800
2024-06-03 11:23:00,10.94,10.96,10.94,10.95,305900
2024-06-03 11:24:00,10.94,10.95,10.94,10.94,212700
2024-06-03 11:25:00,10.95,10.95,10.94,10.94,339400
2024-06-03 11:26:00,10.95,10.95,10.94,10.95,117200
2024-06-03 11:27:00,10.95,10.95,10.94,10.94,414800
2024-06-03 11:28:00,10.94,10.95,10.93,10.93,996100
2024-06-03 11:29:00,10.93,10.94,10.93,10.94,329200
2024-06-03 11:30:00,10.93,10.94,10.93,10.93,450100
2024-06-03 13:01:00,10.93,10.95,10.92,10.92,2498700
2024-06-03 13:02:00,10.93,10.94,10.92,10.93,601700
2024-06-03 13:03:00,10.94,10.94,10.93,10.93,178400
2024-06-03 13:04:00,10.93,10.94,10.93,10.93,86900
2024-06-03 13:05:00,10.93,10.94,10.93,10.94,468400
2024-06-03 13:06:00,10.93,10.94,10.92,10.93,527900
2024-06-03 13:07:00,10.93,10.94,10.93,10.94,104600
2024-06-03 13:08:00,10.94,10.96,10.93,10.96,865600
2024-06-03 13:09:00,10.96,10.96,10.95,10.96,132300
